date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-19 21:51:58,0.0,0.0,0.0,0.52,0.83,0.14,"['2020-09-19 21:51:58', 0.0, 0.0, 0.0, 0.52, 0.83, 0.14, [...]]"
2020-09-19 21:51:59,0.0,0.0,0.0,0.47,0.8,0.14,"['2020-09-19 21:51:59', 0.0, 0.0, 0.0, 0.47, 0.8, 0.14, [...]]"
2020-09-19 21:52:00,0.0,0.0,0.0,0.48,0.81,0.1,"['2020-09-19 21:52:00', 0.0, 0.0, 0.0, 0.48, 0.81, 0.1, [...]]"
2020-09-19 21:52:00,0.0,0.0,0.0,0.48,0.81,0.1,"['2020-09-19 21:52:00', 0.0, 0.0, 0.0, 0.48, 0.81, 0.1, [...]]"
2020-09-19 21:52:01,0.0,0.0,0.0,0.51,0.84,0.15,"['2020-09-19 21:52:01', 0.0, 0.0, 0.0, 0.51, 0.84, 0.15, [...]]"
2020-09-19 21:52:02,0.0,0.0,0.0,0.48,0.79,0.11,"['2020-09-19 21:52:02', 0.0, 0.0, 0.0, 0.48, 0.79, 0.11, [...]]"
2020-09-19 21:52:03,0.0,0.0,0.0,0.48,0.79,0.11,"['2020-09-19 21:52:03', 0.0, 0.0, 0.0, 0.48, 0.79, 0.11, [...]]"
2020-09-19 21:52:03,0.0,0.0,0.0,0.52,0.82,0.12,"['2020-09-19 21:52:03', 0.0, 0.0, 0.0, 0.52, 0.82, 0.12, [...]]"
2020-09-19 21:52:04,0.0,0.0,0.0,0.52,0.82,0.12,"['2020-09-19 21:52:04', 0.0, 0.0, 0.0, 0.52, 0.82, 0.12, [...]]"
2020-09-19 21:52:05,0.0,0.0,0.0,0.54,0.8,0.12,"['2020-09-19 21:52:05', 0.0, 0.0, 0.0, 0.54, 0.8, 0.12, [...]]"
2020-09-19 21:52:05,0.0,0.0,0.0,0.5,0.84,0.11,"['2020-09-19 21:52:05', 0.0, 0.0, 0.0, 0.5, 0.84, 0.11, [...]]"
2020-09-19 21:52:06,0.0,0.0,0.0,0.5,0.84,0.11,"['2020-09-19 21:52:06', 0.0, 0.0, 0.0, 0.5, 0.84, 0.11, [...]]"
2020-09-19 21:52:07,0.0,0.0,0.0,0.5,0.8,0.13,"['2020-09-19 21:52:07', 0.0, 0.0, 0.0, 0.5, 0.8, 0.13, [...]]"
2020-09-19 21:52:08,0.0,0.0,0.0,0.58,0.76,0.16,"['2020-09-19 21:52:08', 0.0, 0.0, 0.0, 0.58, 0.76, 0.16, [...]]"
2020-09-19 21:52:08,0.0,0.0,0.0,0.58,0.76,0.16,"['2020-09-19 21:52:08', 0.0, 0.0, 0.0, 0.58, 0.76, 0.16, [...]]"
