date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-18 18:38:52,0.0,0.0,0.0,0.57,0.9,0.52
2020-09-18 18:38:53,0.0,0.0,0.0,0.57,0.9,0.48
2020-09-18 18:38:54,0.0,0.0,0.0,0.54,0.91,0.48
2020-09-18 18:38:54,0.0,0.0,0.0,0.57,0.91,0.81
2020-09-18 18:38:55,0.0,0.0,0.0,0.57,0.91,0.81
2020-09-18 18:38:56,0.0,0.0,0.0,0.6,0.91,0.22
2020-09-18 18:38:56,0.0,0.0,0.0,0.51,0.92,0.15
2020-09-18 18:38:57,0.0,0.0,0.0,0.51,0.92,0.15
2020-09-18 18:38:58,0.0,0.0,0.0,0.65,1.12,1.06
2020-09-18 18:38:59,0.0,0.0,0.0,0.65,1.12,1.18
2020-09-18 18:38:59,0.0,0.0,0.01,0.94,1.4,1.18
2020-09-18 18:39:00,0.0,0.0,0.0,0.32,0.9,0.36
2020-09-18 18:39:01,0.0,0.0,0.0,0.32,0.9,0.36
2020-09-18 18:39:02,0.0,0.0,0.0,0.51,0.97,0.27
2020-09-18 18:39:02,0.0,0.0,0.0,0.46,0.94,0.14
2020-09-18 18:39:03,0.0,0.0,0.0,0.46,0.94,0.14
2020-09-18 18:39:04,0.0,0.0,0.0,0.53,0.93,0.15
2020-09-18 18:39:04,0.0,0.0,0.0,0.53,0.96,0.13
2020-09-18 18:39:05,0.0,0.0,0.0,0.53,0.96,0.13
2020-09-18 18:39:06,0.0,0.0,0.0,0.96,0.82,0.41
2020-09-18 18:39:07,0.0,0.0,0.0,0.96,0.82,0.64
2020-09-18 18:39:07,0.0,0.0,0.0,1.37,1.52,0.64
2020-09-18 18:39:08,0.0,0.0,0.0,0.82,1.07,1.12
2020-09-18 18:39:09,0.0,0.0,0.0,0.82,1.07,1.12
2020-09-18 18:39:10,0.0,0.0,0.0,0.52,0.95,0.18
2020-09-18 18:39:10,0.0,0.0,0.0,0.51,0.94,0.11
2020-09-18 18:39:11,0.0,0.0,0.0,0.51,0.94,0.11
2020-09-18 18:39:12,0.0,0.0,0.0,0.51,0.96,0.1
2020-09-18 18:39:13,0.0,0.0,0.0,0.47,0.96,0.09
2020-09-18 18:39:13,0.0,0.0,0.0,0.47,0.96,0.09
2020-09-18 18:39:14,0.0,0.0,0.0,0.55,0.93,0.11
2020-09-18 18:39:15,0.0,0.0,0.0,0.55,0.93,0.12
2020-09-18 18:39:15,0.0,0.0,0.0,0.52,0.92,0.12
2020-09-18 18:39:16,0.0,0.0,0.0,0.55,0.91,0.1
2020-09-18 18:39:17,0.0,0.0,0.0,0.55,0.91,0.1
2020-09-18 18:39:18,0.0,0.0,0.0,0.52,0.93,0.1
2020-09-18 18:39:18,0.0,0.0,0.0,0.51,0.95,0.08
2020-09-18 18:39:19,0.0,0.0,0.0,0.51,0.95,0.08
2020-09-18 18:39:20,0.0,0.0,0.0,0.52,0.92,0.11
2020-09-18 18:39:20,0.0,0.0,0.0,0.52,0.92,0.1
2020-09-18 18:39:21,0.0,0.0,0.0,0.46,0.95,0.1
2020-09-18 18:39:22,0.0,0.0,0.0,0.52,0.94,0.11
2020-09-18 18:39:23,0.0,0.0,0.0,0.52,0.94,0.11
2020-09-18 18:39:23,0.0,0.0,0.0,0.5,0.94,0.1
2020-09-18 18:39:24,0.0,0.0,0.0,0.49,0.94,0.09
2020-09-18 18:39:25,0.0,0.0,0.0,0.49,0.94,0.09
2020-09-18 18:39:25,0.0,0.0,0.0,0.49,0.96,0.11
2020-09-18 18:39:26,0.0,0.0,0.0,0.49,0.96,0.09
2020-09-18 18:39:27,0.0,0.0,0.0,0.48,0.97,0.09
2020-09-18 18:39:28,0.0,0.0,0.0,0.52,0.96,0.1
2020-09-18 18:39:28,0.0,0.0,0.0,0.52,0.96,0.1
2020-09-18 18:39:29,0.0,0.0,0.0,0.62,0.86,0.38
2020-09-18 18:39:30,0.0,0.0,0.0,0.63,0.99,0.64
2020-09-18 18:39:31,0.0,0.0,0.0,0.63,0.99,0.64
2020-09-18 18:39:31,0.0,0.0,0.0,0.64,0.95,0.73
2020-09-18 18:39:32,0.0,0.0,0.0,0.64,0.95,0.62
2020-09-18 18:39:33,0.0,0.0,0.0,0.5,0.9,0.62
2020-09-18 18:39:33,0.0,0.0,0.0,0.52,0.93,0.44
2020-09-18 18:39:34,0.0,0.0,0.0,0.52,0.93,0.44
2020-09-18 18:39:35,0.0,0.0,0.0,0.52,0.91,0.41
2020-09-18 18:39:36,0.0,0.0,0.0,0.49,0.94,0.13
2020-09-18 18:39:36,0.0,0.0,0.0,0.49,0.94,0.13
2020-09-18 18:39:37,0.0,0.0,0.0,0.49,0.94,0.11
2020-09-18 18:39:38,0.0,0.0,0.0,0.52,0.92,0.1
2020-09-18 18:39:39,0.0,0.0,0.0,0.52,0.92,0.1
2020-09-18 18:39:39,0.0,0.0,0.0,0.51,0.93,0.13
2020-09-18 18:39:40,0.0,0.0,0.0,0.51,0.93,0.19
2020-09-18 18:39:41,0.0,0.0,0.0,0.53,0.91,0.19
2020-09-18 18:39:41,0.0,0.0,0.0,0.53,0.9,0.14
2020-09-18 18:39:42,0.0,0.0,0.0,0.53,0.9,0.14
2020-09-18 18:39:43,0.0,0.0,0.0,0.55,0.93,0.13
2020-09-18 18:39:44,0.0,0.0,0.0,0.98,0.9,0.91
